Series,Episode,Title,Description
Andor,1,Kassa,"Five years before the Battle of Yavin, Cassian Andor looks for his missing sister in the industrial planet of Morlana One. While investigating, Cassian is antagonized by two officers. An altercation ensues, leading to Cassian accidentally killing one officer and murdering the other. At the planet Ferrix, he attempts to hide his involvement by convincing his adopted mother Maarva's droid, B2EMO, and his friend, Brasso, to cover for him. Having a Starpath Unit (a valuable piece of Imperial navigation technology), Cassian asks his friend Bix to connect him with a black market buyer. Bix agrees and contacts the buyer. Meanwhile, Bix's boyfriend, Timm, is suspicious of Andor. To improve his report to the Imperial authorities, Morlana One's chief inspector of security elects to cover up the murders. However, his deputy, the dutiful Syril Karn, is determined to solve the case. He identifies Cassian's ship, traces it to Ferrix and learns that the fugitive is from the planet Kenari. In a flashback, a younger Cassian, known as Kassa, joins a group on Kenari who set off to locate a crashed ship. Kassa rebuffs his younger sister's efforts to join the search, leaving her behind in their tribal encampment."
Andor,2,That Would Be Me,"Timm, still suspicious of Bix's relationship with Cassian, reports Cassian to Pre-Mor Security, who issue a warrant for his arrest. Karn partners with Sergeant Linus Mosk, an equally dutiful Pre-Mor officer, to arrest Cassian. B2EMO informs Cassian and Maarva of the warrant. Cassian prepares to flee the planet. Meanwhile, Bix's buyer travels to Ferrix to obtain the Starpath Unit. In a flashback, Kassa and his fellow tribal members locate and investigate the crashed ship near a massive abandoned industrial strip-mining operation. When one of their own is killed by a crew member of the downed ship, the tribe kills the attacker and quickly leaves the crash site. Kassa stays behind to explore the ship."
Andor,3,Reckoning,"Luthen Rael, Bix's buyer, arrives on Ferrix and meets Cassian in an abandoned factory. Karn and Mosk also appear with a dozen security officers. They confront Maarva, who refuses to cooperate. Intercepting a transmission from Cassian to B2EMO, Karn pinpoints Cassian's position. Cassian wants to sell the Starpath Unit and leave Ferrix. However, Luthen tries to persuade him to join the Rebel Alliance, citing Cassian's repeated success at stealing from and sabotaging Imperial ships. When Karn's officers raid the factory, the two men escape to a speeder hangar, and subdue Karn. After learning of Timm's betrayal, Bix rushes to aid Cassian, only to be stopped by the officers. Timm is killed when he attempts to intervene. The pod the security officers arrived in is sabotaged and destroyed by Brasso. Luthen and Cassian escape the planet while Karn and Mosk request evacuation. In a flashback, Maarva and her husband, Clem, scavenge the crashed ship on Kenari and find Kassa. Maarva decides to take him with them, fearing his fate if he is discovered there by the Republic."
Andor,4,Aldhani,"Luthen takes Cassian to the planet Aldhani, asking him to join a robbery mission there. Cassian is reluctant but eventually agrees. Luthen asks him to use a pseudonym among the rebels, and Cassian chooses 'Clem'. Vel, the rebel group's leader, introduces him to the rest of the group but keeps Luthen's involvement a secret. They explain to Cassian that they plan on stealing the payroll of an Imperial sector from a key Imperial supply hub, taking advantage of a rare natural phenomenon in Aldhani's sky to escape since their getaway vehicle is slow. Meanwhile on Coruscant, Luthen, posing as an antiques dealer, meets with Senator Mon Mothma, and they discuss challenges in keeping their opposition to the Empire hidden. Karn goes to live with his mother after being castigated and fired. Imperial Security Bureau (ISB) lieutenant Dedra Meero seeks access and authority over the Ferrix incident, but is opposed by a colleague and a senior officer."
Andor,5,The Axe Forgets,"On Aldhani, 'Clem' hides his past from his fellow rebels and is met with distrust from most of them, particularly Skeen. Taramyn trains Cassian and the other rebels for the planned heist. While traveling to the Aldhani Imperial garrison, Cassian reveals that he is a mercenary. Vel decides to continue with the mission and hold off on dealing with 'Clem''s past until they have achieved their objectives. Imperial officer and double agent Lieutenant Gorn covertly aids the rebels. On Coruscant, Eedy Karn emasculates her son Syril as he explores new career prospects. Mon Mothma establishes a new charitable foundation while managing increasingly tense relations with her husband and daughter. ISB supervisor Blevin acquires a hotel as the new ISB headquarters on Ferrix. Meanwhile, his rival Meero and her assistant Heert reach the conclusion that the rebels are conducting a series of coordinated heists of Imperial weapons and technology. Luthen anxiously waits for a transmission from Cassian's rebel team."
Andor,6,The Eye,"Aided by Gorn, the rebels infiltrate the garrison by posing as an escort squad for Commandant Jayhold Beehaz, Gorn's superior. They take Beehaz's family as hostages and force him to give them access to the payroll vault. While loading the credits onto a freighter, they are discovered by Imperial forces. Taramyn and Gorn are killed in the ensuing firefight. Cinta is unable to make it onto the ship, so only Cassian, Skeen, Vel, and Nemik escape from Aldhani. During takeoff, Nemik is crushed by an unsecured load of credits, and suffers a severe injury. They land on the planet Frezno to treat Nemik's injuries. With Vel occupied looking after Nemik, Skeen proposes to Cassian that they flee and split the payroll between the two. Enraged and fearing for his life, Cassian kills Skeen. He tells Vel about what happened and informs her of his plans to take the amount he was promised as payment and leave. Vel gives Cassian Nemik's manifesto, in accordance with Nemik's dying wishes. Back on Coruscant, the ISB agents are gathered to formulate reprisals to the heist, while Luthen hears news of the theft and quietly celebrates."
Andor,7,Announcement,"On Coruscant, Karn starts a new job at the Bureau of Standards. Colonel Yularen announces that the ISB has gained more surveillance and punitive authority, while Meero is challenged by Blevin for breaking protocol by accessing Imperial data without authorization. She persuades her superiors of her work's value and is assigned oversight of Ferrix. Luthen's assistant Kleya instructs Vel to find and kill Cassian, as he knows Luthen's identity. Mon Mothma meets with Tay Kolma, an old friend and banker, and asks him to help her access family funds. Cassian returns to Ferrix to settle old debts and learns that people blame him for the Corporate Security crackdown. The presence of stormtroopers on Ferrix reminds Cassian of how his adoptive father, Clem, was murdered by Imperial clone troopers during a protest on Rix Road. Cassian attempts to get Maarva to leave Ferrix with him, but she decides to stay and oppose the increased Imperial presence. Cassian travels to the tropical tourist paradise of Niamos, adopting the name 'Keef Girgo'. Some time later, while walking towards a local store, he is unjustly arrested by a Shoretrooper and sentenced to six years of imprisonment."
Andor,8,Narkina 5,"Cassian is brought to a prison surrounded by water on Narkina 5 where he spends every day working in monotonous heavy industry with hundreds of other prisoners. Vel and Cinta travel to Ferrix to search for him. When Maarva falls ill, Bix attempts to contact Luthen about Cassian's whereabouts, but Luthen, worried about being exposed to anyone monitoring communications, does not answer. He then leaves Coruscant to meet with Saw Gerrera. Rael attempts to hire Gerrera's rebel cell to act as air support for a raid on an Imperial power station at Spellhaus organized by Anto Kreegyr, but is turned away. Dedra Meero questions Syril Karn about his experiences on Ferrix, but declines his offer to help with her investigation. She leads a unit to Ferrix herself, where she apprehends Bix."
Andor,9,Nobody's Listening!,"Dedra Meero and an Imperial scientist named Dr. Gorst torture Bix for information and realize that Cassian may have been involved in the Aldhani attack. They fail to learn anything from Bix about Luthen. The ISB capture a Rebel pilot from Kreegyr's group, who reveals that a power station on Spellhaus is set to be raided. Mon Mothma reunites with Vel, revealed as her cousin, and encourages her to keep a low profile while maintaining the facade of a rich and politically uninvolved young woman. Mon and Tay Kolma continue working to covertly gather funds for rebel activities. Meanwhile, an older member of Cassian's prison work crew named Ulaf is euthanized by a prison medic named Dr. Rhasiv when he suffers a stroke and can no longer work effectively. Dr. Rhasiv confirms to Cassian and floor manager Kino Loy a disturbing rumor: A prisoner who had completed his sentence was sent to work on a different level instead of being released, forcing the prison to kill all the prisoners on that level to cover up the mistake. Cassian and Kino realize that the prison may never let them go, convincing Kino to join Cassian's scheme to escape."
Andor,10,One Way Out,"By breaking a water pipe and flooding his work floor, Cassian disables the floor's security system, allowing work crews there to overpower the few guards and escape. Kino uses the prison's intercom system to encourage other floors to escape and the rebellion sweeps through the entire prison. Despite his role in the escape, Kino reveals that he can't swim. Cassian swims with the other escapees and reaches land. Mon Mothma meets with Davo Sculdun, a shady businessman who offers to help finance her projects, but Mon refuses after Davo requests that Mon arrange a meeting between her daughter and his son, an initial step towards marriage in their Chandrilan culture. ISB supervisor Lonni Jung, secretly a rebel informant, meets with Luthen and updates him on ISB activities. The two men reflect on how they are both trapped in their roles."
